Year,Educational Level,Academic Level,Type of Educational Institution,Region,State,Type of University,University Name,General Field,Field,Specialization,Education type,Gender,Nationality,Number of Students
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,حائل,حائل,جامعة,جامعة حائل,الصحة والرفاة,الصحة,العلاج وإعادة التأهيل,منتظم,أنثى,سعودي,59
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,عسير,أبها,جامعة,جامعة الملك خالد,الفنون والعلوم الإنسانية,الدراسات الإنسانية,الدين وعلوم الأديان,منتظم,أنثى,غير سعودي,8
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,غير سعودي,1
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,شقراء,جامعة,جامعة شقراء,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,أنثى,سعودي,35
1/1/2016,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,نجران,نجران,جامعة,جامعة نجران,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,ذكر,سعودي,239
1/1/2017,دراسات عليا,ماجستير,جامعات حكومية,عسير,بيشة,جامعة,جامعة بيشة,التعليم,التعليم,علم التربية,منتظم,ذكر,سعودي,9
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الدمام,جامعة,جامعة الإمام عبدالرحمن بن فيصل,الصحة والرفاة,الصحة,دراسات طب الأسنان,منتظم,أنثى,سعودي,187
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,العلوم الطبيعية والرياضيات والإحصاء,البيئة,علوم البيئة,منتظم,ذكر,سعودي,6
1/1/2014,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الرياض,الرياض,جامعة,جامعة المعرفة الأهلية للعلوم والتقنية,الصحة والرفاة,الصحة,الصيدلة,منتظم,ذكر,غير سعودي,22
1/1/2017,دراسات عليا,ماجستير,جامعات حكومية,المدينة المنورة,المدينة المنورة,جامعة,الجامعة الإسلامية,الأعمال والإدارة والقانون,القانون,القانون,موازي,ذكر,غير سعودي,12
1/1/2016,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الأميرة نورة بنت عبدالرحمن,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,سعودي,622
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,التعليم,التعليم,علم التربية,منتظم,ذكر,غير سعودي,1
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,تبوك,تبوك,جامعة,جامعة تبوك,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,أنثى,غير سعودي,7
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,الجامعة السعودية الإلكترونية,الأعمال والإدارة والقانون,الأعمال والإدارة,التسويق والإعلان,منتظم,ذكر,سعودي,38
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الأفلاج,جامعة,جامعة الأمير سطام بن عبدالعزيز,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,أنثى,سعودي,71
1/1/2013,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الشرقية,الدمام,جامعة,جامعة الأمير محمد بن فهد,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الإلكترونيات والأتمتة,منتظم,أنثى,غير سعودي,6
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,المزاحمية,جامعة,جامعة شقراء,التعليم,التعليم,تدريب معلمي ما قبل المدرسة,منتظم,أنثى,سعودي,1383
1/1/2016,دراسات عليا,دكتوراه,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الإمام محمد بن سعود الإسلامية,الأعمال والإدارة والقانون,القانون,القانون,منتظم,ذكر,غير سعودي,16
1/1/2013,دراسات عليا,دكتوراه,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,أنثى,سعودي,3
1/1/2013,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الأعمال والإدارة والقانون,الأعمال والإدارة,المحاسبة والضرائب,منتظم,ذكر,غير سعودي,3
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,المدينة المنورة,ينبع,جامعة,جامعة طيبة,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,أنثى,سعودي,503
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الدمام,جامعة,جامعة الإمام عبدالرحمن بن فيصل,الصحة والرفاة,الصحة,الطب,منتظم,أنثى,غير سعودي,5
1/1/2016,دراسات عليا,ماجستير,جامعات حكومية,عسير,أبها,جامعة,جامعة الملك خالد,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,موازي,ذكر,سعودي,54
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,عسير,أبها,جامعة,جامعة الملك خالد,الفنون والعلوم الإنسانية,اللغات,إكتساب اللغات,موازي,أنثى,سعودي,7
1/1/2013,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,مكة المكرمة,جدة,كلية,المؤسسة العامة للتدريب التقني والمهني,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الميكانيك والحرف المعدنية,منتظم,ذكر,سعودي,337
1/1/2017,دراسات عليا,دكتوراه,جامعات حكومية,الشرقية,الظهران,جامعة,جامعة الملك فهد للبترول والمعادن,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,برامج غير مصنفة في مجال تكنولوجيا الاتصالات والمعلومات,منتظم,ذكر,سعودي,1
1/1/2016,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الهندسة والتصنيع والبناء,الهندسة المعمارية والبناء,الهندسة المعمارية وتخطيط المدن,منتظم,ذكر,غير سعودي,2
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الدمام,جامعة,جامعة الإمام عبدالرحمن بن فيصل,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,سعودي,103
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الدمام,جامعة,جامعة الإمام عبدالرحمن بن فيصل,التعليم,التعليم,تدريب المعلمين دون موضوع تخصصي,منتظم,ذكر,سعودي,97
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,العلوم الاجتماعية والصحافة والإعلام,العلوم الاجتماعية والسلوكية,علم النفس,منتسب,أنثى,سعودي,3010
1/1/2017,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,الرياض,القويعية,كلية,المؤسسة العامة للتدريب التقني والمهني,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,منتظم,ذكر,سعودي,608
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,الخدمات,الخدمات الشخصية,الخدمات المنزلية,منتظم,أنثى,غير سعودي,4
1/1/2015,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,القصيم,بريدة,كلية,كليات بريدة الأهلية,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,سعودي,119
1/1/2016,دراسات عليا,ماجستير,جامعات حكومية,الشرقية,الإحساء,جامعة,جامعة الملك فيصل,الفنون والعلوم الإنسانية,الدراسات الإنسانية,الدين وعلوم الأديان,منتظم,ذكر,سعودي,40
